jobid,user,class
AJN409,mario,No
AJH224,mario,No
AKO091,mario,No
AJD448,mario,No
AJC800,mario,No
ALA183,mario,No
AJW636,mario,No
AKD611,mario,Yes
AJI555,mario,Yes
AKJ250,mario,No
AKO708,mario,No
AJD071,mario,No
AKI507,mario,Yes
AJL516,mario,No
AJF209,mario,No
AKU409,mario,No
AJI682,mario,No
AKE429,mario,No
AKV103,mario,No
AKG345,mario,No
AKG102,mario,No
AJN058,mario,No
AJT618,mario,No
AKR550,mario,No
AJF755,mario,No
AKG212,mario,No
AKN442,mario,No
AJF119,mario,No
AKD353,mario,No
AKJ084,mario,No
ALA975,mario,No
AKB531,mario,No
AKK025,mario,No
AKO738,mario,No
AJW523,mario,No
AKV222,mario,No
ALA951,mario,No
AJU303,mario,No
AKM868,mario,No
AJP897,mario,No
AJF631,mario,No
AKR006,mario,No
AKP014,mario,No
AKJ759,mario,No
AJM703,mario,No
AKE321,mario,No
AJN523,mario,No
AJL554,mario,No
AJF933,mario,No
AJG519,mario,No
AKB958,mario,No
AJX747,mario,No
ATU756,mario,Yes
AJX272,mario,No
AKV590,mario,No
AJH748,mario,No
AKX760,mario,No
AJX442,mario,Yes
ALB209,mario,No
AJW630,mario,No
AIZ363,mario,No
ALF516,mario,No
AKD297,mario,No
AKT838,mario,No
AJF304,mario,No
AJB322,mario,No
AKP072,mario,No
AKI923,mario,No
AKI420,mario,No
AJP634,mario,Yes
AJM286,mario,No
AJY925,mario,No
AJY064,mario,No
AKD332,mario,No
ALC936,mario,No
AKT759,mario,No
AKP088,mario,No
AJL518,mario,No
AKG424,mario,No
AJS544,mario,No
AJT904,mario,No
AJY828,mario,No
AKW073,mario,No
AKY984,mario,No
AJN184,mario,No
AJY538,mario,No
ATV680,mario,No
AJP783,mario,No
AKO731,mario,No
AJC513,mario,No
AJW350,mario,Yes
AJT238,mario,No
AKF999,mario,No
AJR399,mario,Yes
AKG367,mario,No
AKN879,mario,No
AKX756,mario,No
AJP599,mario,No
