,SoftwareJob,closes,contract,description,duration_ad_days,employer,enhanced,extra_location,extra_location_s,extra_subject_area,extra_subject_area_s,extra_type___role,funding_amount,funding_for,hours,include_in_study,invalid_code,job_ref,job_title,jobid,location,placed_on,prediction,qualification_type,salary,tags,uk_university
0,None,2014-08-01,Contract / Temporary,"
 Applications are invited for Clinical Research Associate based between Newcastle University and the Spire Washington (RMO). You will provide on-site medical cover particularly in relation to emergency situations including resuscitation as required, according to current Hospital policies. 
 You will be a registered medical practitioner, qualified for a minimum of three years in an acute hospital. This post is ideally suited to a surgeon who has completed the MRCS (CT and ST trainees alike) and has already demonstrated an interest in surgical research. You will be ST2 (CT2) level or equivalent ideally for those wishing to pursue research before an ST3 rotation and full GMC registration is essential. 
 It is expected that you will enrol in the University of Newcastle Masters in Clinical Education program (MClinEd) and develop a National/ International e learning course in transplantation surgery with appropriate supervision. 
 Currently the University runs a successful Diploma in Transplantation Course within the UK’s only Institute of Transplantation at the Freeman Hospital. This will be extended into an e-learning course. This is a fully funded post. There will also be opportunities to assist in the HPB and Transplant program (renal, pancreas and liver) and honorary clinical status will be given at The Freeman Hospital in Newcastle. 
 This post is tenable for 1 year in the first instance with a view to a further year. 
 Enquiries to Professor Steve White tel: (0191) 213 7074 ( steve.white@nuth.nhs.uk ). RMO duties should be directed to Andrew Johnson, The Spire Washington tel: (0191) 418 8660. 
",77,Newcastle University - Institute of Cellular Medicine,normal,Northern England,,['Health and Medical'],,['Academic or Research'],,,Full Time,False,['salary'],A1865R (ICM),Clinical Research Associate,AIT723,Newcastle Upon Tyne,2014-05-16,0,,"
                                            £28,076
                                                     to £31,301                                                                                                            per annum, with progression to £47,175.
                                        ","['None', 'None']",Newcastle University
1,None,2014-07-18,Permanent,"
 Elephant and Castle, London 
 Why choose us?  University of the Arts London is a vibrant world centre for innovation, drawing together six Colleges with international reputations in art, design, fashion, communication and performing arts. 
 The London College of Communication (LCC) is a world leader in media and design courses, preparing students for careers in the Creative industries. From photography, film and animation, to sound arts and graphic, interactive and special design, we offer courses in a huge range of areas. Our outstanding technical provision is one of our USPs. 
 The role  We are seeking an enthusiastic and motivated individual for the position of H&S Advisor with the mission of achieving a positive safety culture within the college. The role provides an ideal opportunity for a qualified professional to work in an area with a diverse range of activities. You will provide H&S support for staff and students, develop and provide training. A key part of the job is auditing and inspecting to ensure the college is compliant with the relevant legislation, as well as investigation accidents and near misses to identify root causes. 
 Your profile  You will have a NEBOSH Diploma or equivalent as well as being member of IOSH. In addition to these qualifications, you will have experience of managing health, safety and wellbeing, preferably within a Higher Education institution or in Art and Design. You will also have excellent team working skills and be able to demonstrate leadership with respect to health, safety and wellbeing matters. You will have good communication skills in order to explain the concepts of health and safety to staff and students. You should be able to work independently and organise your time efficiently. 
 In return, University of the Arts London offers generous leave, a final salary pension and a commitment to your continuing personal development and training in an environment that encourages excellence, creativity and diversity. Relocation assistance is available. 
 Closing date: Friday 18th July 2014 
 Apply  Please visit  http://jobs.arts.ac.uk  where you are able search for the position, download an application pack and apply. Please note that CVs submitted without a formal application form will not be accepted for consideration. If you have any queries about this role that are not covered in the documentation available below please contact Lesley Wilkins, Staffing Administrator, email:  lcc.jobs@lcc.arts.ac.uk  or telephone: 020 7514 7985. 
 Want to find more job opportunities with University of the Arts London?  Follow us on  Twitter@UALJobs   
 University of the Arts London aims to be an equal opportunities employer embracing diversity in all areas of activity. 
",37,"University of the Arts London, London College of Communication ",normal,London,,"['Administrative', 'Student Services']",,['Professional or Managerial'],,,Full Time,False,,EXT1311,Local Health and Safety Advisor,AIY398,London,2014-06-11,0,,"
                                            £35,181
                                                     to £42,208                                                                                                        ","['None', 'None']",
2,None,2014-07-19,Contract / Temporary,"
 A position exists, for a Research Assistant / Associate (Postdoctoral Researcher) in the Department of Engineering, to work in the field of nanotechnology. In this project, we aim at the development of new techniques to create highly organized assemblies of carbon nanotubes using self-assembly bottom up approaches. Herein we emphasize the importance of controlling colloidal forces between the nanoparticles, and engineering their interactions in order to create superstructures with properties controlled over different lengthscales. The project will follow a methodical approach, bringing together different fields of expertise ranging from lithographic processing, to nanoscale material self-assembly and chemical surface modification. 
 The post holder will be located in West Cambridge, Cambridgeshire, UK. 
 Key responsibilities and duties include taking a prominent role in conducting the research, interacting with team members, designing, executing and analysing experiments, reporting and publishing research results. 
 We will consider various research backgrounds including material science, chemistry, and colloidal physics. Applicants are required to have a PhD or being close to obtaining a PhD. Experience in colloidal physics, self-assembly, chemical modification or synthesis of nanomaterials, as well as nanomaterial characterization methods is an advantage but not required.  
 Salary Ranges: Research Assistant / Associate: £24,289 - £36,661 
 Further detailed information can be found here:  http://www.nanomanufacturing.eng.cam.ac.uk/ 
 Fixed-term: The funds for this post are available for 14 months in the first instance. 
 Once an offer of employment has been accepted, the successful candidate will be required to undergo a health assessment. 
 To apply online for this vacancy and to view further information about the role, please visit:  http://www.jobs.cam.ac.uk/job/4209 . This will take you to the role on the University's Job Opportunities pages. There you will need to click on the 'Apply online' button and register an account with the University's Web Recruitment System (if you have not already) and log in before completing the online application form. 
 Please quote reference NM03609 on your application and in any correspondence about this vacancy 
 The University values diversity and is committed to equality of opportunity. 
 The University has a responsibility to ensure that all employees are eligible to live and work in the UK. 
",36,University of Cambridge - Department of Engineering,normal,South East England,,"['Physical and Environmental Sciences', 'Engineering and Technology']",,['Academic or Research'],,,Full Time,False,,NM03609,Research Assistant/Associate,AIZ101,Cambridge,2014-06-13,0,,"
                                            £24,289
                                                     to £36,661                                                                                                        ","['None', 'None']",University of Cambridge
3,Yes,2014-07-17,Permanent,"
 Andrew Wiles Building, Radcliffe Observatory Quarter, Woodstock Road, Oxford 
 Do you consider yourself a capable systems administrator? Are you professional, diligent, methodical and a skilled trouble-shooter? Are you passionate about and take a pride in the work that you do? 
 Then this may be your opportunity to join a dynamic, friendly, well established team responsible for providing IT support within the Mathematical Institute at the University of Oxford. 
 Reporting to the Head of IT, your primary responsibilities will include front line desktop user support as well as assisting in maintaining departmental IT systems and in particular being involved in several of the upcoming system development projects. As part of an IT team of 7 you will work individually as well as collaborating with other team members. The IT team collectively support system security, upgrades and development, as well as providing general IT support in person and via an email trouble ticketing system.   
 The successful candidate will have a university degree and/or relevant experience together with experience of advanced Linux/BSD/UNIX systems administration and/or systems programming/development, experience with enterprise grade mail and file servers, maintaining Cross platform enabling services such as SAMBA and administering database and web servers. 
 This is a permanent position. 
 If no suitable applicants are identified on Grade 8 an appointment at Grade 7 (£29,837 - £36,661 p.a.) with an appropriate adjustment in duties may be considered. 
 Informal enquiries can be made to the email address below quoting reference 113278. 
 Applicants should read the job description before writing their application. Please ensure you directly address each of the selection criteria, as specified in the job description, in your supporting statement. In addition applicants will be asked to complete a brief online test at their convenience within the week following the closing date. 
 Only applications received before 12:00 noon on 17 July 2014 can be considered. 
 https://www.recruit.ox.ac.uk/pls/hrisliverecruit/erq_jobspec_version_4.jobspec?p_id=113278 
",31,University of Oxford - Mathematical Institute,normal,South East England,,['IT'],,['Professional or Managerial'],,,Full Time,False,,113278,Senior Systems Administrator,AIZ429,Oxford,2014-06-16,1,,"
                                            £37,756
                                                     to £45,053                                                                                                        ","['Some', 'Some']",University of Oxford
4,Yes,2014-07-11,Contract / Temporary,"
 Campus:  Hull 
 Faculty/Area:  Faculty of Science and Engineering 
 The University of Hull is seeking a 3D Artist with creativity and enthusiasm to join a new team developing a naval simulator, specifically oriented around the aircraft carrier HMS Illustrious. 
 The successful candidate will work closely with developers, to create the art assets for a series of realistic operational scenarios within Bohemia Interactive Simulations’ Virtual BattleSpace simulation environment. The simulation is to be deployed on to a range of state of the art technology within HIVE, the University’s virtual environment centre. 
 Key Skills: 
 Proven 3D graphics experience 
 Fluent in modelling and texturing environments using Maya or 3DS 
 Experience with textures, shadows, layering of shaders and vertex blending 
 Experience with game engines 
 Knowledge of latest game art techniques and how to apply them in game development 
 This is a fixed term position for 12 months. 
 For informal enquiries, contact Warren Viant,  w.j.viant@hull.ac.uk , tel 01482 465289. 
 For information about The Department of Computer Science visit  http://www2.hull.ac.uk/science/computer_science.aspx . 
 The University of Hull is committed to ensuring equality of opportunity in every aspect of our recruitment processes. 
 Hull will be UK City of Culture in 2017. The University of Hull was part of the City of Culture team throughout the bidding process and remains a key player in Hull’s cultural heritage. The campus will be the venue for City of Culture events, and its alumni, students and staff will be personally involved. 
",24,University of Hull - Computer Science,normal,Northern England,,"['Computer Science', 'Creative Arts and Design']",,['Academic or Research'],,,Full Time,False,,FS0111,3D Artist,AIZ617,Hull,2014-06-17,1,,"
                                            £20,374
                                                     to £23,585                                                                                                            per annum
                                        ","['Most', 'Some']",
5,None,2014-07-16,Contract / Temporary,"
 Applications are invited to an Early-Career Teaching and Research Fellow in Medical Anthropology from based at the School of Anthropology, Banbury Road, Oxford. The school is seeking a committed teacher and researcher for lecturing and tutoring on the social aspects of the current medical anthropology programme. 
 Starting on the 6 th  October 2014 
 This post is fixed-term for 6 months full-time, however a part-time (50%) appointment for 12 months will be considered. 
 The primary function of this post is to deliver teaching for two medical anthropology undergraduate courses as well as the MSc and MPhil. This includes lecturing, examining and supervision. The primary focus of the role is teaching and there will be opportunity to develop your teaching skills under the guidance of the Oxford Learning Institute. 
 To be considered, you must have a doctorate qualification in medical anthropology awarded within the last 2 years at the closing date of the call for applications along with some experience in teaching students of high calibre and student assessment. You will have the capacity to publish in international journals and with major presses in the relevant field and have great interpersonal skills. Familiarity with the medical anthropology programme at Oxford is desirable. 
 Applications for this vacancy are to be made online for this fixed-term position. For further details, including the job description and selection criteria, please click on the link below. 
 You will be required to upload a CV and supporting statement with your application. 
 Priority candidate applications must be received by  12.00 noon on 16   July 2014.  Non-priority applications must be received by 12.00 noon on  9th July 2014 . 
 https://www.recruit.ox.ac.uk/pls/hrisliverecruit/erq_jobspec_version_4.jobspec?p_id=113681 
",28,University of Oxford - School of Anthropology and Museum Ethnography,normal,South East England,,['Health and Medical'],,['Academic or Research'],,,Full Time,False,,113681,Early-Career Teaching and Research Fellow in Medical Anthropology,AIZ699,Oxford,2014-06-18,0,,"
                                            Up to £29,837
                                                                                    Grade 7, p.a. (pro rata for part-time)
                                        ","['None', 'None']",University of Oxford
6,None,2014-07-11,Contract / Temporary,"
 Fixed-term until 31 August 2015 Closing date: 11 July 2014 
 Loughborough University is home to one the UK's largest science and enterprise parks and it is growing with the development of our new Advanced Technology Innovation Centre (ATIC). The ATIC will provide innovative Small, Medium Enterprises (SMEs) in the Advanced Technology fields with a physical infrastructure of office, workshops and laboratories facilities. 
 We are seeking an enthusiastic, innovative and self-motivated business development professional to play a key role in identifying and supporting potential tenants (SMEs) of the ATIC. This post forms part of the Business Development Team within the Enterprise Office. 
 Applicants should have a first degree or equivalent, a postgraduate degree is desirable. Experience of a business development role working with industrial partners is essential. Consideration will be given to secondment opportunities 
 This post is part funded by the European Regional Development Fund 2007-2013. 
",23,Loughborough University - Enterprise Office,normal,Midlands of England,,['Property and Maintenance'],,['Professional or Managerial'],,,Full Time,False,,REQ14317,Tenant Development Manager,AIZ815,Loughborough,2014-06-18,0,,"
                                            £37,756
                                                     to £45,053                                                                                                        ","['None', 'None']",Loughborough University
7,None,2014-07-27,Permanent,"
 Circa £33k or Circa £40k for appointment at the senior level 
 The UK’s national synchrotron science facility, Diamond Light Source, conducts world-class research in virtually all fields of science. Located 20 minutes from Oxford, it sits in a designated Area of Outstanding Natural Beauty and offers rewarding career opportunities. 
 Beamline I06 operates a leading polarised soft x-ray beamline for research exploiting x-ray magnetic circular dichroism and resonant soft x-ray diffraction. The beamline houses a PhotoEmission Electron Microscope (PEEM), a high-field low-temperature supercoducting magnet and a soft x-ray diffractometer. The beamline also operates two femtosecond lasers for ultrafast science. We are looking for an enthusiastic and dedicated new member of the team with experience in at least one of the disciplines described above. Research interests should be clearly presented in the application. Candidates with interests in magnetism, magnetisation dynamics or highly-correlated systems studied using ultrafast optical or x-ray techniques are encouraged to apply. 
 Duties: To support the Principal Beamline Scientist in the construction, installation, commissioning and operation of the beamline. 
 Working in support of the Principal Beamline Scientist in the following areas: 
 Installation, assembly, and maintenance of a range of equipment and systems on the beamline and support laboratories, including testing and commissioning; 
 Procurement of straightforward beamline components; 
 Liaise with the suppliers of the beamline components; 
 Local contact support to users by setting up and providing advice and guidance on the best approach to experiments, data analysis and research techniques once beamline operational; 
 Carry out own research in an area relevant to the beamline and disseminate through publications and presentations; 
 Assist in the development of a new item of equipment or system on the beamline, including testing and commissioning. 
 Additional duties for appointment at the senior level: 
 To lead the design, procurement, testing, installation and commissioning of particular significant items for the beamline or instrumentation which would enhance or improve its capability; 
 Procurement of significant beamline components; 
 Develop own research/technical expertise to become internationally recognised through publications and presentations for own work in an area relevant to beamline; 
 Enhance the operation of the facility by collaboration and dissemination of specialist knowledge with the other Diamond staff and users. 
 Closing date: 27th July 2014. Date of interviews: TBC. 
 We are committed to equality of opportunities for all and our employees come from many countries, cultures and backgrounds. 
 We offer comprehensive benefits including flexible working arrangements. 
",37,Diamond Light Source - Physical Science,normal,South East England,,['Health and Medical'],,['Academic or Research'],,,Full Time,False,,DIA0937/TH,Beamline Scientist / Senior Beamline Scientist,AJA120,Chilton,2014-06-20,0,,"
                                            £33,000
                                                     to £40,000                                                                                                            Circa
                                        ","['None', 'Some', 'None']",
8,None,2014-07-13,Permanent,"
 Location: Ormond Building 
 
 Please attach a letter of application, your CV, a completed Equal Opportunities monitoring form and completed General Information form to apply for this position. 
 
 You can upload your letter of application, the completed Equal Opportunities monitoring form, the completed General Information form and your Curriculum Vitae in the My Documents section once you have logged in.  Manchester Metropolitan University (MMU) is one of the UK's largest and most popular Universities. Our mission is to be the University for World Class Professionals. 
 Estates provide a wide collection of services: Capital Developments, Property Services, Environmental Strategy, Security and Business Continuity. The Estates team is developing a strategy and structure in support of the University's newly formed Academic Vision to be in the Top 50 of UK universities for teaching and research by 2020. The Estates team has a significant strategic leadership role in the development and execution of the next phase of the MMU Estates Masterplan (circa £200m). The team is responsible for ensuring the entire built environment assets of the university is managed effectively and efficiently. 
 The role of Head of Security and Business Continuity is a new position within the University. This is a high profile role designed to promote strong collaboration across a broad spectrum of internal and external stakeholders. The post holder will deliver strategic planning level leadership whilst also ensuring robust operational management plans are established and monitored. The two key areas of responsibility will be the establishment and management of the University wide Security Management Framework and the Business Continuity Management System. It is both an exciting and challenging opportunity to re-shape security and business continuity into a professional, efficient and highly respected part of MMU Estates team. 
 We are looking for an exceptional candidate with a firm grounding in Security and Business Continuity leadership at a strategic level. The role holder will have strong communication and influencing skills in order to operate effectively at all levels of the University. Technical and operational experience will be complimented by a passion and enthusiasm to provide excellent, customer-focused services. The candidate will thrive in a changing environment and have strong leadership skills to motivate his or her management teams and staff. The role holder will have strategic leadership, strong business acumen and the ability to develop and manage complex business plans whilst driving operational excellence. 
 For an informal discussion regarding the requirements of the role please contact Ian McManus on 0161-247 1230 or via email at  i.mcmanus@mmu.ac.uk 
 Manchester Metropolitan University is committed to creating a diverse environment where everybody is treated with dignity, fairness and respect. We welcome applications from all potential candidates. 
 
",24,Manchester Metropolitan University - ProMPT - Management Information,normal,Northern England,,"['Library Services and Information Management', 'Property and Maintenance']",,['Professional or Managerial'],,,Full Time,False,,JB316,Head of Security and Business Continuity,AJA135,Manchester,2014-06-19,0,,"
                                            £60,000
                                                                                                                                                            ","['None', 'None']",Manchester Metropolitan University
9,None,2014-07-20,Permanent,"
 Closing date :  20/07/2014 
 Reference :  M&HS-04769 
 Faculty / Organisational unit :  Medical & Human Sciences 
 School / Directorate :  School of Dentistry 
 Employment type :  Permanent 
 Location :  Oxford Road, Manchester 
 Salary :  £37,756 to £46,400 per anum 
 Hours per week :  Full time 
   
 This post offers an excellent opportunity for enthusiastic individual to join a growing team of researchers based within the School of Dentistry. The School has a reputation for delivering high quality, internationally renowned research and is keen to develop its research portfolio. We are looking to appoint an experienced individual who will participate fully in both teaching and research within the School. They will be encouraged to collaborate with other schools across the Faculty or with any of the six Institutes. 
   
 You should have a PhD or equivalent research experience in a relevant discipline, along with experience of quantitative research design and analysis, teaching at a postgraduate level and a record of published research. Good communication skills, both written and oral, are essential. 
   
 Informal Enquiries 
   
 Informal enquiries can be made to 
   
 Professor Helen Worthington ( Helen.worthington@manchester.ac.uk ) or Dr Tanya Walsh ( Tanya.walsh@manchester.ac.uk ) 
   
 The School of Dentistry is committed to promoting equality and diversity, including the Athena SWAN charter for promoting women’s careers in STEMM subjects (science, technology, engineering, mathematics and medicine) in higher education. The School received a Bronze Award in 2013 for their commitment to the representation of women in the workplace and we particularly welcome applications from women for this post. Appointment will always be made on merit. For further information, please visit  http://www.mhs.manchester.ac.uk/about-us/athena/ 
  
 Further particulars including job description and person specification are available on the University of Manchester website - click on the 'Apply' button below to find out more. 
 
",27,The University of Manchester - Faculty of Medical & Human Sciences,normal,Northern England,,"['Health and Medical', 'Mathematics and Statistics']",,['Academic or Research'],,,Full Time,False,,MHS-04769,Lecturer in Oral Health Statistics,AJA422,Manchester,2014-06-23,0,,"
                                            £37,756
                                                     to £46,400                                                                                                            per annum
                                        ","['None', 'None']",University of Manchester
